# Id ,ECD(um) ,C  ,O  ,Na ,Mg ,Al ,Si ,P  ,S  ,Cl ,K  ,Ca ,Mn ,Fe ,Sc ,Ti ,Co 
1310,1.124971704,84.59113757,14.85383708,0.482779507,0,0,0.072245849,0,0,0,0,0,0,0,0,0,0
1313,1.74279867,84.65122702,15.2377147,0,0,0,0,0,0,0,0,0,0,0,0.111058285,0,0
1318,1.368587146,78.58421819,19.82591246,0,0,0.671679302,0.728864784,0,0,0,0.03151095,0.030909269,0.064140533,0,0.062764512,0,0
1341,1.44942465,83.66453129,16.00406458,0,0,0,0,0,0,0,0,0.235631611,0,0,0.095772526,0,0
1349,1.598885205,84.63008899,15.26658621,0,0,0,0,0,0,0,0,0,0,0,0.103324809,0,0
1370,1.079034952,78.9436375,19.3191206,0.096096863,0,0.342926097,0.888349682,0,0.110995925,0,0.158873717,0,0.059252814,0,0.080746797,0,0
1380,1.179880277,84.92234378,14.97081442,0,0,0,0,0,0,0,0,0,0,0,0.106841793,0,0
1403,1.006205281,84.92824886,14.97360034,0,0,0,0,0,0,0,0,0,0,0,0.098150799,0,0
1411,1.018705205,83.15492061,16.70052008,0,0,0,0,0,0,0,0,0,0,0,0.144559311,0,0
1434,1.272760193,82.33155055,16.46656844,0,0,0.467249512,0.561922183,0,0,0,0.022337491,0.024241942,0.040219192,0,0.085910685,0,0
1437,1.201141092,86.19468391,13.66551627,0,0,0,0.053293695,0,0,0,0,0,0,0,0.086506118,0,0
1465,1.147250534,84.65434647,15.24102231,0,0,0,0,0,0,0,0,0,0,0,0.104631226,0,0
1472,1.321542524,78.36357397,19.85104487,0,0,0.044657271,0.115702579,0,0,0,0,0,1.546857734,0,0.078163579,0,0
1487,1.113665169,84.7850407,14.38257051,0,0,0.157253712,0.427588796,0,0,0,0.107642903,0.041860055,0,0,0.098043318,0,0
1501,1.018705205,79.84894398,18.86249454,0,0,0,0.132673505,0,0,0,0,0,0.275688975,0.745056542,0.135142457,0,0
1509,1.440666717,82.7221847,16.27669058,0,0,0.311523989,0.44016576,0,0,0,0.030471703,0.07188666,0.063436938,0,0.083639672,0,0
